Label,Precision,Recall,F1-Score,Val Acc,Val AUC,Val Loss,Val MMC,TN,FP,FN,TP,Time,Ep Stopped,Index Fold,Val Acc Avg,SD Acc,Val AUC Avg,SD MMC,Va MMC Avg
Macro Avg,0.4875,0.4875,0.4875,0.8723404255319149,0.7026009316770186,1.9303715229034424,0.1453900709219858,0,0,0,0,0.21583843231201172,2000,0,0.8723404255319149,0.0,0.7026009316770186,0.0,0.1453900709219858
company,1.0000,1.0000,1.0000,0.8723404255319149,1.0,1.9303715229034424,1.0,45,0,0,2,,,,,,,,
address,1.0000,1.0000,1.0000,0.8723404255319149,1.0,1.9303715229034424,1.0,45,0,0,2,,,,,,,,
date,0.0000,0.0000,0.0000,0.8723404255319149,0.4891304347826087,1.9303715229034424,0.0,45,1,1,0,,,,,,,,
total,0.0000,0.0000,0.0000,0.8723404255319149,0.4891304347826087,1.9303715229034424,0.0,45,1,1,0,,,,,,,,
item,0.0000,0.0000,0.0000,0.8723404255319149,0.4891304347826087,1.9303715229034424,0.0,45,1,1,0,,,,,,,,
other,0.9250,0.9250,0.9250,0.8723404255319149,0.7482142857142856,1.9303715229034424,0.8604651162790697,4,3,3,37,,,,,,,,
COMPANY,HOME MASTER HARDWARE & ELECTRICAL,,,,,,,,,,,,,,,,,,
ADDRESS,NO.113G & 115G  JALAN SETIA GEMBILANG U13/BG BANDAR SETIA ALAM ,,,,,,,,,,,,,,,,,,
DATE,['22/12/2017 14:03'],,,,,,,,,,,,,,,,,,
ITEM,['24MMX7Y M.ONE TAPE'],,,,,,,,,,,,,,,,,,
TOTAL,['15.90'],,,,,,,,,,,,,,,,,,
